iter	Passed	Remaining
0	4	4603
1	8	3885
2	10	3101
3	13	3148
4	17	3166
5	20	3181
6	24	3194
7	27	3174
8	31	3189
9	35	3228
10	38	3230
11	42	3247
12	45	3214
13	48	3205
14	53	3270
15	58	3316
16	62	3332
17	66	3365
18	69	3351
19	74	3380
20	78	3390
21	81	3381
22	85	3360
23	89	3360
24	93	3387
25	97	3383
26	102	3417
27	107	3447
28	111	3459
29	114	3449
30	119	3477
31	123	3471
32	127	3460
33	131	3472
34	138	3540
35	148	3690
36	159	3843
37	162	3825
38	166	3807
39	170	3784
40	173	3753
41	176	3729
42	179	3702
43	182	3673
44	185	3651
45	188	3627
46	192	3607
47	195	3589
48	198	3567
49	201	3553
50	204	3530
51	207	3511
52	210	3488
53	213	3467
54	217	3459
55	221	3453
56	225	3447
57	228	3433
58	232	3426
59	235	3419
60	239	3413
61	242	3400
62	246	3398
63	251	3398
64	254	3388
65	259	3394
66	263	3389
67	266	3382
68	270	3374
69	274	3367
70	277	3353
71	280	3346
72	284	3336
73	288	3336
74	291	3328
75	295	3321
76	299	3317
77	302	3304
78	306	3305
79	311	3305
80	314	3296
81	318	3294
82	322	3287
83	326	3290
84	330	3287
85	334	3280
86	337	3272
87	340	3261
88	346	3271
89	349	3263
90	353	3255
91	356	3250
92	360	3245
93	364	3237
94	367	3231
95	371	3225
96	375	3221
97	378	3215
98	382	3211
99	386	3206
100	389	3199
101	393	3194
102	397	3189
103	400	3183
104	403	3171
105	407	3167
106	411	3165
107	414	3157
108	417	3147
109	421	3143
110	426	3144
111	429	3140
112	433	3131
113	436	3125
114	439	3115
115	443	3111
116	447	3110
117	451	3105
118	454	3100
119	459	3100
120	462	3095
121	466	3091
122	470	3087
123	475	3089
124	479	3089
125	483	3083
126	486	3079
127	491	3076
128	495	3075
129	499	3074
130	503	3070
131	508	3074
132	512	3072
133	516	3069
134	520	3062
135	523	3058
136	527	3054
137	531	3050
138	536	3051
139	539	3045
140	543	3040
141	547	3038
142	550	3032
143	554	3027
144	558	3021
145	561	3014
146	566	3016
147	571	3018
148	575	3018
149	581	3021
150	584	3017
151	588	3013
152	593	3013
153	598	3015
154	603	3016
155	608	3016
156	611	3011
157	617	3016
158	621	3015
159	628	3024
160	633	3024
161	640	3036
162	645	3035
163	649	3033
164	654	3035
165	660	3037
166	665	3039
167	670	3043
168	676	3045
169	680	3043
170	684	3038
171	689	3039
172	694	3038
173	698	3035
174	703	3034
175	708	3033
176	712	3030
177	715	3024
178	719	3018
179	724	3017
180	728	3015
181	733	3013
182	738	3013
183	743	3012
184	747	3011
185	751	3005
186	755	2999
187	759	2996
188	762	2990
189	765	2983
190	769	2977
191	773	2974
192	777	2970
193	782	2967
194	785	2962
195	789	2957
196	793	2952
197	798	2950
198	801	2944
199	805	2939
200	809	2934
201	812	2928
202	816	2924
203	820	2920
204	824	2915
205	835	2936
206	845	2952
207	853	2962
208	858	2959
209	861	2955
210	866	2951
211	870	2946
212	873	2941
213	878	2939
214	883	2939
215	889	2941
