iter	Accuracy	MultiClass
0	0.4408029496	1.096922825
1	0.4420319541	1.094725452
2	0.4412126178	1.093292058
3	0.4412126178	1.091720794
4	0.4399836133	1.090052335
5	0.4399836133	1.088314478
6	0.4403932814	1.086704764
7	0.4444899631	1.085021172
8	0.4571896764	1.083156622
9	0.4526833265	1.081549684
10	0.4506349857	1.080192217
11	0.4547316673	1.078878097
12	0.458828349	1.077449693
13	0.4600573535	1.075879094
14	0.4604670217	1.07456996
15	0.4592380172	1.072972444
16	0.4600573535	1.071796219
17	0.458828349	1.070526637
18	0.4584186809	1.069082953
19	0.4584186809	1.068228619
20	0.4575993445	1.067288605
21	0.458828349	1.066638528
22	0.4567800082	1.06587137
23	0.4575993445	1.065393707
24	0.4575993445	1.064504264
25	0.4580090127	1.063537755
26	0.4575993445	1.062681663
27	0.4567800082	1.061758708
28	0.4567800082	1.061233157
29	0.4571896764	1.060523745
30	0.4571896764	1.059733087
31	0.4571896764	1.058989236
32	0.4571896764	1.058430207
33	0.4575993445	1.057808368
34	0.4575993445	1.056971246
35	0.4575993445	1.056235396
36	0.4575993445	1.055643189
37	0.4584186809	1.055138509
38	0.4571896764	1.054231161
39	0.4580090127	1.053732364
40	0.4580090127	1.053141964
41	0.4580090127	1.052500433
42	0.4580090127	1.051907631
43	0.458828349	1.05131111
44	0.458828349	1.050837579
45	0.458828349	1.050138913
46	0.4584186809	1.049378202
47	0.4592380172	1.048858311
48	0.458828349	1.048188285
49	0.458828349	1.047666091
50	0.4592380172	1.047130016
51	0.4592380172	1.046865601
52	0.4596476854	1.046487842
53	0.4596476854	1.046098699
54	0.4580090127	1.045579714
55	0.458828349	1.045142209
56	0.4580090127	1.044562224
57	0.4580090127	1.044139823
58	0.4580090127	1.043773127
59	0.4575993445	1.043238425
60	0.4575993445	1.04271587
61	0.4575993445	1.042369016
62	0.4575993445	1.041998012
63	0.4571896764	1.041595739
64	0.4571896764	1.041275501
65	0.4571896764	1.040853843
66	0.4571896764	1.040447268
67	0.4571896764	1.040030684
68	0.4571896764	1.039706513
69	0.4571896764	1.039122575
70	0.4571896764	1.038702215
71	0.4571896764	1.038352151
72	0.4571896764	1.038008958
73	0.4571896764	1.037368621
74	0.4571896764	1.037254706
75	0.4571896764	1.036657533
76	0.4571896764	1.036228333
77	0.4571896764	1.035711506
78	0.4571896764	1.035138706
79	0.4571896764	1.034673877
80	0.4571896764	1.034385393
81	0.4571896764	1.033950555
82	0.4571896764	1.03354641
83	0.4571896764	1.033071975
84	0.4571896764	1.032764955
85	0.4571896764	1.032365469
86	0.4571896764	1.032092422
87	0.4580090127	1.0316384
88	0.4584186809	1.031259353
89	0.4584186809	1.030933424
90	0.4584186809	1.030690546
91	0.458828349	1.030261948
92	0.4592380172	1.029653448
93	0.4592380172	1.029304761
94	0.458828349	1.028771994
95	0.4592380172	1.02842758
96	0.4592380172	1.028141869
97	0.4592380172	1.027937179
98	0.4600573535	1.027240627
99	0.4604670217	1.026819249
100	0.4596476854	1.026448189
101	0.4604670217	1.026004315
102	0.4604670217	1.025728713
103	0.4604670217	1.025520577
104	0.4604670217	1.025170423
105	0.461286358	1.024601741
106	0.4616960262	1.024251137
107	0.4621056944	1.02380879
108	0.4616960262	1.023365248
109	0.4616960262	1.023134677
110	0.4625153626	1.0224539
111	0.4633346989	1.022128632
112	0.4629250307	1.021847495
113	0.4637443671	1.021473591
114	0.4641540352	1.020971931
115	0.4645637034	1.020515467
116	0.4645637034	1.020128689
117	0.4649733716	1.019711406
118	0.4653830397	1.019330172
119	0.4653830397	1.019157936
120	0.4653830397	1.018786844
121	0.4657927079	1.018518394
