iter	Accuracy	MultiClass
0	0.4452533489	1.09783834
1	0.4493302271	1.097048147
2	0.4621432732	1.096312959
3	0.4598136284	1.095485017
4	0.4560279557	1.094692428
5	0.4504950495	1.094177055
6	0.4519510775	1.093356513
7	0.4496214327	1.092689174
8	0.44583576	1.092024401
9	0.4455445545	1.091383349
10	0.4449621433	1.090707051
11	0.4455445545	1.090040299
12	0.4478741992	1.089363503
13	0.4461269656	1.088757833
14	0.44583576	1.088147056
15	0.4531158998	1.087564136
16	0.4522422831	1.086894162
17	0.4525334886	1.08625116
18	0.4510774607	1.085747151
19	0.4542807222	1.085123147
20	0.4542807222	1.084535573
21	0.4542807222	1.084009832
22	0.4557367501	1.083412099
23	0.4571927781	1.08282525
24	0.4586488061	1.08226577
25	0.4563191613	1.081733148
26	0.4566103669	1.081220678
27	0.4571927781	1.080652868
28	0.4557367501	1.080126827
29	0.455154339	1.079761238
30	0.4545719278	1.07944692
31	0.4545719278	1.07897722
32	0.4545719278	1.078670603
33	0.4542807222	1.078207051
34	0.4542807222	1.077716077
35	0.4542807222	1.077226993
36	0.4531158998	1.076839552
37	0.4560279557	1.076372742
38	0.4557367501	1.075917401
39	0.4563191613	1.075500902
40	0.4571927781	1.075040639
41	0.4583576005	1.074650412
42	0.4583576005	1.074279285
43	0.4589400116	1.073860013
44	0.4583576005	1.073398413
45	0.4603960396	1.073049901
46	0.4598136284	1.072632502
47	0.4603960396	1.072211994
48	0.4606872452	1.07181908
49	0.4592312172	1.071463454
50	0.4571927781	1.071178965
51	0.4577751893	1.070807108
52	0.4592312172	1.070466222
53	0.4598136284	1.070216523
54	0.4583576005	1.069961763
55	0.4580663949	1.069576506
56	0.4592312172	1.069161827
57	0.4580663949	1.068782792
58	0.4577751893	1.068440987
59	0.4592312172	1.068103893
60	0.4595224228	1.067732339
61	0.4606872452	1.067408917
62	0.4621432732	1.067098227
63	0.461560862	1.066807451
64	0.4630168899	1.066571719
65	0.4630168899	1.066325925
66	0.4612696564	1.066019903
67	0.461560862	1.065719636
68	0.4606872452	1.065443114
69	0.4612696564	1.065160502
70	0.461560862	1.06490468
71	0.4612696564	1.064655612
72	0.4618520676	1.064396528
73	0.4612696564	1.064159087
74	0.4627256843	1.06388373
75	0.4627256843	1.06359392
76	0.4618520676	1.063267018
77	0.4633080955	1.06295144
78	0.4638905067	1.06274627
79	0.4633080955	1.062454122
80	0.4638905067	1.062184257
81	0.4641817123	1.061895708
82	0.4641817123	1.061621655
83	0.4641817123	1.061367844
84	0.4638905067	1.061126021
85	0.4633080955	1.060958368
86	0.4627256843	1.060718966
87	0.4638905067	1.060494818
88	0.4638905067	1.060234712
89	0.4647641235	1.060087488
90	0.4633080955	1.059840293
91	0.4627256843	1.059601042
92	0.4630168899	1.059392737
93	0.4627256843	1.059152113
94	0.4627256843	1.058901104
95	0.4630168899	1.058710126
96	0.4627256843	1.058510366
97	0.4641817123	1.058282187
98	0.4641817123	1.05811698
99	0.4647641235	1.057912034
100	0.4630168899	1.057725049
101	0.4633080955	1.057545849
102	0.4627256843	1.057346738
103	0.4633080955	1.057146586
104	0.4630168899	1.05692731
105	0.4633080955	1.056733847
106	0.4633080955	1.056518246
107	0.4633080955	1.056361844
108	0.4624344787	1.056252144
109	0.4635993011	1.056074918
110	0.4627256843	1.055890045
111	0.4633080955	1.055724734
112	0.4633080955	1.055550493
113	0.4621432732	1.05540891
114	0.4630168899	1.055275458
115	0.4633080955	1.0551414
116	0.4633080955	1.054981119
117	0.4633080955	1.054822188
118	0.4627256843	1.054605603
119	0.4624344787	1.054403952
120	0.4630168899	1.054281254
121	0.4627256843	1.054050906
122	0.4627256843	1.053886482
123	0.4630168899	1.053680167
124	0.4624344787	1.053520662
125	0.4627256843	1.053370905
126	0.4630168899	1.053265898
127	0.4641817123	1.053103318
128	0.4633080955	1.052981212
129	0.4638905067	1.052844879
130	0.4641817123	1.052664001
131	0.4635993011	1.052514963
132	0.4641817123	1.052399161
133	0.4641817123	1.052245555
134	0.4630168899	1.052079952
135	0.4633080955	1.051962609
136	0.4635993011	1.051787837
137	0.4633080955	1.051666125
138	0.4635993011	1.051547991
139	0.4635993011	1.051403631
140	0.4635993011	1.051252819
141	0.4638905067	1.051100255
142	0.4635993011	1.050996423
143	0.4633080955	1.050840209
144	0.4633080955	1.050723115
145	0.4627256843	1.050653664
146	0.4627256843	1.050536081
147	0.4624344787	1.050382782
148	0.4630168899	1.050266816
149	0.4635993011	1.050123287
150	0.4630168899	1.04995799
151	0.4630168899	1.049833062
152	0.4638905067	1.049713964
153	0.4641817123	1.049580902
154	0.4641817123	1.049487653
155	0.4641817123	1.0493106
156	0.4641817123	1.049196794
157	0.4641817123	1.049046939
158	0.4647641235	1.048921981
159	0.4659289458	1.048818367
160	0.4650553291	1.048758408
161	0.4653465347	1.048604222
162	0.4656377402	1.048464528
163	0.4644729179	1.04836362
164	0.4644729179	1.048220356
165	0.4641817123	1.048116936
166	0.4641817123	1.047993685
167	0.4647641235	1.047814987
168	0.4647641235	1.047739218
169	0.4644729179	1.047641477
170	0.4641817123	1.047546831
171	0.4641817123	1.047454301
172	0.4644729179	1.047329474
173	0.4638905067	1.047149946
174	0.4644729179	1.047041029
175	0.4641817123	1.046888653
176	0.4635993011	1.04682505
177	0.4638905067	1.046748105
178	0.4641817123	1.046644962
179	0.4641817123	1.046531935
180	0.4644729179	1.046426011
181	0.4641817123	1.046328332
182	0.4644729179	1.04619562
183	0.4650553291	1.046087708
184	0.4650553291	1.046019487
185	0.4644729179	1.045909217
186	0.4644729179	1.045785693
187	0.4647641235	1.045723784
188	0.4653465347	1.045603179
189	0.4656377402	1.045539757
190	0.4653465347	1.04538869
191	0.4656377402	1.045302748
192	0.4656377402	1.045155036
193	0.4659289458	1.045041304
194	0.4656377402	1.044930808
195	0.4659289458	1.044852184
196	0.4662201514	1.044731638
197	0.4653465347	1.044655762
198	0.4656377402	1.044560665
199	0.4656377402	1.044435078
200	0.4656377402	1.044331021
201	0.466511357	1.04416046
202	0.4662201514	1.044083807
203	0.4659289458	1.04402713
204	0.4659289458	1.043895879
205	0.4656377402	1.043802775
206	0.4656377402	1.04373366
207	0.4662201514	1.043648654
208	0.466511357	1.043557846
209	0.466511357	1.04350144
210	0.4662201514	1.043416699
211	0.466511357	1.04330453
212	0.4662201514	1.043218148
213	0.4662201514	1.043129642
214	0.466511357	1.043025389
215	0.4659289458	1.042930214
216	0.4662201514	1.042857618
217	0.4662201514	1.042795801
218	0.4668025626	1.04270959
219	0.466511357	1.042637049
220	0.4662201514	1.042598252
221	0.4662201514	1.042560304
222	0.4662201514	1.04251658
223	0.4659289458	1.042423052
224	0.4659289458	1.042312337
225	0.4659289458	1.042175811
226	0.4656377402	1.04202192
227	0.4656377402	1.041963786
228	0.4656377402	1.04184363
229	0.4662201514	1.04177368
230	0.4662201514	1.041720791
231	0.4662201514	1.041649823
232	0.4662201514	1.04151258
233	0.4656377402	1.041434297
234	0.4656377402	1.041370398
235	0.4662201514	1.041318605
236	0.4668025626	1.041222246
237	0.4662201514	1.041141609
238	0.4662201514	1.041069642
239	0.4668025626	1.040946257
240	0.4656377402	1.040841242
241	0.4659289458	1.040786729
242	0.466511357	1.040658689
243	0.4662201514	1.040585244
244	0.466511357	1.040531285
245	0.466511357	1.040450517
246	0.466511357	1.040360214
247	0.4668025626	1.040274682
248	0.4670937682	1.040175853
249	0.466511357	1.040096586
250	0.4662201514	1.040025364
251	0.466511357	1.039964628
252	0.4668025626	1.039857361
253	0.466511357	1.039774473
254	0.466511357	1.039698662
255	0.4656377402	1.03958975
256	0.4670937682	1.03949461
257	0.4668025626	1.039431663
258	0.4668025626	1.039380731
259	0.4662201514	1.039340031
260	0.4668025626	1.039272079
261	0.4676761794	1.039200098
262	0.4676761794	1.039112849
263	0.4670937682	1.039046417
264	0.4676761794	1.03889416
265	0.4670937682	1.03883288
266	0.467967385	1.038789345
267	0.467967385	1.038692929
268	0.4676761794	1.038609903
269	0.467967385	1.03850593
270	0.4691322073	1.03837734
271	0.4691322073	1.038305226
272	0.4688410017	1.038253183
273	0.4691322073	1.038176453
274	0.4691322073	1.038074491
275	0.4691322073	1.037967688
276	0.4688410017	1.037902895
277	0.4688410017	1.037810335
278	0.4688410017	1.037774982
279	0.4685497962	1.037710277
280	0.4688410017	1.037662051
281	0.4688410017	1.037585487
282	0.4688410017	1.037538801
283	0.4685497962	1.037479998
284	0.4691322073	1.037421562
285	0.4691322073	1.037355224
286	0.4697146185	1.037242971
287	0.4697146185	1.037111606
288	0.4691322073	1.037033372
289	0.4691322073	1.036902769
290	0.4694234129	1.036866972
291	0.4688410017	1.036792185
292	0.4688410017	1.036692029
293	0.4691322073	1.036595646
294	0.4700058241	1.036555984
295	0.4694234129	1.03647524
296	0.4694234129	1.036395248
297	0.4694234129	1.03633439
298	0.4691322073	1.036272329
299	0.4691322073	1.036212984
300	0.4688410017	1.03613403
301	0.4688410017	1.036023748
302	0.4694234129	1.035948959
303	0.4694234129	1.035906551
304	0.4694234129	1.035820729
305	0.4700058241	1.035715944
306	0.4694234129	1.035682432
307	0.4697146185	1.035648204
308	0.4697146185	1.035554507
