iter	Passed	Remaining
0	7	7169
1	13	6833
2	20	6903
3	27	6789
4	33	6701
5	39	6537
6	46	6658
7	53	6590
8	59	6593
9	68	6780
10	77	6954
11	83	6889
12	89	6816
13	95	6750
14	102	6732
15	109	6703
16	115	6650
17	122	6657
18	128	6651
19	135	6626
20	141	6610
21	148	6588
22	155	6585
23	161	6554
24	168	6569
25	175	6569
26	182	6566
27	189	6563
28	195	6532
29	201	6527
30	207	6493
31	215	6521
32	222	6523
33	228	6505
34	235	6498
35	242	6489
36	249	6481
37	255	6465
38	262	6467
39	269	6469
40	276	6461
41	282	6453
42	290	6454
43	296	6444
44	303	6447
45	310	6446
46	318	6461
47	324	6443
48	332	6448
49	338	6428
50	344	6414
51	351	6408
52	358	6403
53	365	6395
54	371	6379
55	378	6383
56	385	6370
57	391	6364
58	398	6361
59	405	6356
60	414	6373
61	421	6383
62	429	6392
63	438	6406
64	445	6407
65	452	6400
66	459	6399
67	466	6393
68	474	6406
69	481	6398
70	489	6405
71	497	6410
72	504	6411
73	511	6403
74	518	6395
75	527	6411
76	534	6408
77	541	6401
78	548	6397
79	555	6391
80	563	6389
81	569	6374
82	575	6362
83	583	6358
84	590	6357
85	597	6353
86	606	6363
87	620	6433
88	635	6505
89	646	6539
90	655	6551
91	666	6573
92	674	6580
93	681	6567
94	689	6563
95	696	6555
96	703	6552
97	710	6539
98	717	6526
99	724	6523
100	732	6523
101	740	6519
102	747	6508
103	754	6498
104	760	6483
105	767	6472
106	774	6467
107	782	6462
108	789	6455
109	797	6451
110	804	6443
111	811	6433
112	818	6424
113	824	6410
114	831	6396
115	837	6384
116	844	6369
117	851	6363
118	858	6356
119	865	6345
120	871	6331
121	878	6318
122	885	6311
123	893	6308
124	900	6302
125	907	6294
126	915	6291
127	923	6288
128	929	6278
129	937	6275
130	944	6263
131	951	6258
132	958	6245
133	965	6237
134	973	6236
135	980	6228
136	986	6215
137	993	6207
138	1001	6202
139	1008	6192
140	1014	6183
141	1021	6172
142	1029	6170
143	1037	6164
144	1044	6158
145	1051	6153
146	1059	6145
147	1067	6142
148	1074	6134
149	1080	6124
150	1087	6114
151	1094	6106
152	1102	6102
153	1109	6096
154	1116	6087
155	1123	6078
156	1130	6072
157	1136	6058
158	1142	6045
159	1151	6044
160	1157	6033
161	1164	6023
162	1170	6009
163	1178	6006
164	1184	5995
165	1191	5984
166	1197	5971
167	1214	6016
168	1222	6010
169	1229	6000
170	1235	5990
171	1242	5982
172	1252	5985
173	1266	6010
174	1276	6017
175	1284	6012
176	1291	6005
177	1298	5998
178	1305	5988
179	1311	5976
180	1318	5966
181	1325	5958
182	1332	5950
183	1340	5945
184	1347	5937
185	1355	5931
186	1362	5922
187	1369	5914
188	1378	5914
189	1388	5919
190	1395	5910
191	1402	5900
192	1408	5890
193	1415	5881
194	1422	5872
195	1429	5864
196	1436	5857
197	1443	5847
198	1450	5837
199	1457	5829
200	1464	5820
201	1471	5812
202	1478	5805
203	1487	5804
204	1495	5799
205	1502	5789
206	1509	5782
207	1516	5772
208	1524	5767
209	1531	5760
210	1538	5751
211	1544	5741
212	1550	5730
213	1558	5724
214	1565	5717
215	1574	5714
216	1582	5709
217	1589	5700
218	1595	5690
219	1601	5679
220	1607	5668
221	1614	5659
222	1621	5648
223	1627	5639
224	1634	5629
225	1640	5618
226	1647	5609
227	1655	5605
228	1664	5602
229	1672	5600
230	1679	5591
231	1686	5581
232	1692	5573
233	1700	5566
234	1707	5557
235	1714	5549
236	1720	5539
237	1726	5528
238	1734	5521
239	1740	5512
240	1748	5506
241	1755	5499
242	1762	5490
243	1769	5481
244	1775	5472
245	1782	5464
246	1789	5454
247	1795	5445
248	1802	5435
249	1808	5425
250	1816	5420
251	1823	5412
252	1830	5403
253	1836	5393
254	1844	5387
255	1851	5381
256	1860	5378
257	1868	5373
258	1876	5368
259	1882	5357
260	1888	5346
261	1894	5337
262	1902	5330
263	1908	5321
264	1915	5311
265	1921	5301
266	1928	5293
267	1936	5288
268	1943	5281
269	1950	5272
270	1957	5264
271	1964	5257
272	1970	5247
273	1976	5238
274	1983	5230
275	1991	5223
276	1998	5215
277	2004	5205
278	2010	5196
279	2017	5186
280	2024	5179
281	2031	5171
282	2037	5162
283	2044	5154
284	2051	5146
285	2058	5137
286	2064	5129
287	2071	5120
288	2078	5114
289	2085	5105
290	2092	5098
291	2098	5088
292	2105	5080
293	2113	5074
294	2119	5066
295	2126	5057
296	2133	5049
297	2139	5040
298	2146	5031
299	2153	5023
300	2160	5017
301	2167	5009
302	2173	5000
303	2181	4993
304	2188	4987
305	2195	4979
306	2202	4972
307	2209	4964
308	2216	4957
309	2224	4950
310	2230	4942
311	2238	4936
312	2245	4928
313	2253	4922
314	2260	4916
315	2268	4910
316	2276	4904
317	2283	4897
318	2290	4889
319	2296	4880
320	2303	4871
321	2309	4862
322	2315	4853
323	2322	4846
324	2329	4838
325	2338	4833
326	2344	4825
327	2351	4816
328	2358	4809
329	2365	4803
330	2374	4798
331	2382	4794
332	2391	4791
333	2400	4787
334	2409	4782
335	2417	4778
336	2426	4773
337	2433	4767
338	2442	4761
339	2448	4753
340	2455	4745
341	2465	4744
342	2473	4737
343	2479	4729
344	2486	4721
345	2493	4712
346	2500	4704
347	2506	4696
348	2514	4690
349	2520	4681
350	2526	4671
351	2533	4664
352	2544	4662
353	2560	4672
354	2569	4668
355	2576	4660
356	2583	4653
357	2592	4648
358	2601	4644
359	2608	4637
360	2615	4630
361	2622	4621
362	2628	4612
363	2634	4603
364	2641	4594
365	2648	4587
366	2655	4580
367	2663	4573
368	2670	4566
369	2680	4564
370	2688	4557
371	2694	4549
372	2701	4541
373	2708	4533
374	2715	4526
375	2722	4518
376	2729	4510
377	2735	4501
378	2742	4492
379	2749	4486
380	2756	4478
381	2763	4470
382	2769	4461
383	2776	4453
384	2782	4445
385	2789	4437
386	2797	4431
387	2805	4424
388	2812	4417
389	2819	4409
390	2827	4404
391	2834	4397
392	2842	4390
393	2848	4381
394	2856	4375
395	2863	4367
396	2870	4360
397	2878	4353
398	2885	4346
399	2892	4339
400	2899	4330
401	2906	4324
402	2914	4316
403	2920	4308
404	2927	4300
405	2935	4294
406	2942	4287
407	2949	4280
408	2956	4271
409	2963	4264
410	2970	4257
411	2978	4250
412	2985	4243
413	2993	4236
414	3000	4229
415	3009	4224
416	3016	4217
417	3023	4209
418	3031	4202
419	3038	4195
420	3045	4188
421	3052	4180
422	3059	4172
423	3066	4165
424	3073	4158
425	3080	4150
426	3087	4143
427	3094	4135
428	3101	4128
